DateTime,Pressure,Temp,Altitude,Act.score,flight,acc[0],acc[1],acc[2],acc[3],acc[4],acc[5]
2021-08-15 01:00,740.6,37.2,2562,1,,5,1,0,0,0,0
2021-08-15 02:00,742.2,37.4,2544,2,,4,2,0,0,0,0
2021-08-15 03:00,742.1,37.9,2545,2,,4,2,0,0,0,0
2021-08-15 04:00,741.7,38.6,2549,1,,5,1,0,0,0,0
2021-08-15 05:00,741.5,39.8,2552,7,,1,3,2,0,0,0
2021-08-15 06:00,741.3,38.9,2554,3,,3,3,0,0,0,0
2021-08-15 07:00,741.1,38.2,2555,2,,4,2,0,0,0,0
2021-08-15 08:00,741,37.9,2557,2,,4,2,0,0,0,0
2021-08-15 09:00,740.9,38.1,2558,5,,2,3,1,0,0,0
2021-08-15 10:00,740.9,37.8,2558,3,,4,1,1,0,0,0
2021-08-15 11:00,741.3,37.8,2554,5,,2,3,1,0,0,0
2021-08-15 12:00,741.7,37.6,2550,3,,3,3,0,0,0,0
2021-08-15 13:00,737.2,35.3,2597,1,,5,1,0,0,0,0
2021-08-15 14:00,737.9,34.5,2591,0,,6,0,0,0,0,0
2021-08-15 15:00,738.2,34.7,2587,0,,6,0,0,0,0,0
2021-08-15 16:00,738.3,34.6,2586,0,,6,0,0,0,0,0
2021-08-15 17:00,738.2,34.4,2587,0,,6,0,0,0,0,0
2021-08-15 18:00,737.8,33.9,2591,0,,6,0,0,0,0,0
2021-08-15 19:00,737.6,33.7,2593,0,,6,0,0,0,0,0
2021-08-15 20:00,737.5,33.6,2595,0,,6,0,0,0,0,0
2021-08-15 21:00,737.8,33.7,2591,0,,6,0,0,0,0,0
2021-08-15 22:00,737.9,34.9,2591,0,,6,0,0,0,0,0
2021-08-15 23:00,737.8,34.4,2591,1,,5,1,0,0,0,0
2021-08-16 00:00,738,34.7,2589,0,,6,0,0,0,0,0
2021-08-16 01:00,743.1,40.8,2534,0,,6,0,0,0,0,0
2021-08-16 02:00,742.4,37.7,2542,5,,2,3,1,0,0,0
2021-08-16 03:00,742.2,38.4,2544,3,,3,3,0,0,0,0
2021-08-16 04:00,741.6,39.1,2551,5,,3,1,2,0,0,0
2021-08-16 05:00,740.9,39.1,2558,1,,5,1,0,0,0,0
2021-08-16 06:00,740.4,39.8,2563,1,,5,1,0,0,0,0
2021-08-16 07:00,739.8,39.3,2570,5,,2,3,1,0,0,0
2021-08-16 08:00,739.5,39,2573,1,,5,1,0,0,0,0
2021-08-16 09:00,739.1,38.9,2578,6,,2,2,2,0,0,0
2021-08-16 10:00,738.9,38.7,2580,2,,4,2,0,0,0,0
2021-08-16 11:00,738.9,38.1,2579,4,,3,2,1,0,0,0
2021-08-16 12:00,739.2,37.6,2577,1,,5,1,0,0,0,0
2021-08-16 13:00,736.8,35.5,2602,2,,4,2,0,0,0,0
2021-08-16 14:00,737.8,34.9,2591,0,,6,0,0,0,0,0
2021-08-16 15:00,738.2,34.9,2587,0,,6,0,0,0,0,0
2021-08-16 16:00,738.3,34.7,2586,0,,6,0,0,0,0,0
2021-08-16 17:00,738.4,34.9,2585,0,,6,0,0,0,0,0
2021-08-16 18:00,738.4,34.2,2585,0,,6,0,0,0,0,0
2021-08-16 19:00,738.4,34.1,2584,0,,6,0,0,0,0,0
2021-08-16 20:00,738.6,34.2,2583,0,,6,0,0,0,0,0
2021-08-16 21:00,738.7,34.5,2582,0,,6,0,0,0,0,0
2021-08-16 22:00,738.9,35.3,2580,0,,6,0,0,0,0,0
