DateTime,Pressure,Temp,Altitude,Act.score,flight,acc[0],acc[1],acc[2],acc[3],acc[4],acc[5]
2021-07-20 01:00,,,,2,,4,2,0,0,0,0
2021-07-20 02:00,,,,7,,2,1,3,0,0,0
2021-07-20 03:00,,,,3,,4,1,1,0,0,0
2021-07-20 04:00,,,,9,,0,4,1,1,0,0
2021-07-20 05:00,,,,4,,3,2,1,0,0,0
2021-07-20 06:00,,,,5,,3,2,0,1,0,0
2021-07-20 07:00,,,,3,,4,1,1,0,0,0
2021-07-20 08:00,,,,6,,1,4,1,0,0,0
2021-07-20 09:00,,,,11,,2,1,0,2,1,0
2021-07-20 10:00,,,,3,,4,1,1,0,0,0
2021-07-20 11:00,,,,3,,4,1,1,0,0,0
2021-07-20 12:00,,,,7,,2,2,1,1,0,0
2021-07-20 13:00,,,,4,,3,2,1,0,0,0
2021-07-20 14:00,,,,5,,2,3,1,0,0,0
2021-07-20 15:00,,,,7,,1,3,2,0,0,0
2021-07-20 16:00,,,,2,,4,2,0,0,0,0
2021-07-20 17:00,,,,0,,6,0,0,0,0,0
2021-07-20 18:00,,,,1,,5,1,0,0,0,0
2021-07-20 19:00,,,,1,,5,1,0,0,0,0
2021-07-20 20:00,,,,4,,3,2,1,0,0,0
2021-07-20 21:00,,,,6,,2,2,2,0,0,0
2021-07-20 22:00,,,,6,,2,3,0,1,0,0
2021-07-20 23:00,,,,10,,0,3,2,1,0,0
2021-07-21 00:00,,,,9,,1,2,2,1,0,0
2021-07-21 01:00,,,,4,,4,0,2,0,0,0
2021-07-21 02:00,,,,5,,1,5,0,0,0,0
2021-07-21 03:00,,,,5,,2,3,1,0,0,0
2021-07-21 04:00,,,,3,,4,1,1,0,0,0
2021-07-21 05:00,,,,1,,5,1,0,0,0,0
2021-07-21 06:00,,,,6,,3,1,1,1,0,0
2021-07-21 07:00,,,,2,,4,2,0,0,0,0
2021-07-21 08:00,,,,6,,3,1,1,1,0,0
2021-07-21 09:00,,,,3,,3,3,0,0,0,0
2021-07-21 10:00,,,,5,,2,3,1,0,0,0
2021-07-21 11:00,,,,8,,2,2,0,2,0,0
2021-07-21 12:00,,,,7,,2,2,1,1,0,0
2021-07-21 13:00,,,,9,,1,2,2,1,0,0
2021-07-21 14:00,,,,4,,2,4,0,0,0,0
2021-07-21 15:00,,,,5,,4,0,1,1,0,0
2021-07-21 16:00,,,,4,,3,2,1,0,0,0
2021-07-21 17:00,,,,4,,4,1,0,1,0,0
2021-07-21 18:00,,,,1,,5,1,0,0,0,0
2021-07-21 19:00,,,,0,,6,0,0,0,0,0
2021-07-21 20:00,,,,2,,4,2,0,0,0,0
2021-07-21 21:00,,,,5,,3,1,2,0,0,0
2021-07-21 22:00,,,,3,,3,3,0,0,0,0
2021-07-21 23:00,,,,5,,3,1,2,0,0,0
2021-07-22 00:00,,,,2,,4,2,0,0,0,0
2021-07-22 01:00,,,,2,,4,2,0,0,0,0
2021-07-22 02:00,,,,7,,4,0,0,1,1,0
2021-07-22 03:00,,,,5,,3,1,2,0,0,0
2021-07-22 04:00,,,,8,,2,1,2,1,0,0
2021-07-22 05:00,,,,5,,1,5,0,0,0,0
2021-07-22 06:00,,,,3,,3,3,0,0,0,0
2021-07-22 07:00,,,,6,,3,1,1,1,0,0
2021-07-22 08:00,,,,2,,4,2,0,0,0,0
2021-07-22 09:00,,,,4,,3,2,1,0,0,0
