DateTime,Pressure,Temp,Altitude,Act score,flight,acc[0],acc[1],acc[2],acc[3],acc[4],acc[5]
2021-08-15 01:00,782.6,34.4,2121,0,,6,0,0,0,0,0
2021-08-15 02:00,781.7,33.4,2130,3,,3,3,0,0,0,0
2021-08-15 03:00,783,34.2,2117,3,,4,1,1,0,0,0
2021-08-15 04:00,783.3,33.1,2114,1,,5,1,0,0,0,0
2021-08-15 05:00,785,25.9,2097,3,,4,1,1,0,0,0
2021-08-15 06:00,784.3,34.1,2104,1,,5,1,0,0,0,0
2021-08-15 07:00,782.2,34.4,2125,3,,4,1,1,0,0,0
2021-08-15 08:00,781.8,33.4,2129,0,,6,0,0,0,0,0
2021-08-15 09:00,781.8,34.2,2129,3,,3,3,0,0,0,0
2021-08-15 10:00,781.7,34.3,2130,3,,4,1,1,0,0,0
2021-08-15 11:00,782.4,34.8,2123,1,,5,1,0,0,0,0
2021-08-15 12:00,783.3,33.9,2114,0,,6,0,0,0,0,0
2021-08-15 13:00,783.5,33,2112,0,,6,0,0,0,0,0
2021-08-15 14:00,783.8,32.6,2109,0,,6,0,0,0,0,0
2021-08-15 15:00,784,33.2,2107,0,,6,0,0,0,0,0
2021-08-15 16:00,783.8,32.9,2109,0,,6,0,0,0,0,0
2021-08-15 17:00,783.6,31.9,2111,0,,6,0,0,0,0,0
2021-08-15 18:00,783.4,32,2113,0,,6,0,0,0,0,0
2021-08-15 19:00,783.2,30.7,2115,0,,6,0,0,0,0,0
2021-08-15 20:00,783,30.4,2117,0,,6,0,0,0,0,0
2021-08-15 21:00,782.9,30.2,2119,0,,6,0,0,0,0,0
2021-08-15 22:00,783.1,31,2116,0,,6,0,0,0,0,0
2021-08-15 23:00,783.1,33.4,2116,1,,5,1,0,0,0,0
2021-08-16 00:00,783.4,34,2113,4,,3,2,1,0,0,0
2021-08-16 01:00,783.5,34.5,2112,0,,6,0,0,0,0,0
2021-08-16 02:00,783.1,34.5,2116,3,,4,1,1,0,0,0
2021-08-16 03:00,783.4,35.4,2113,4,,2,4,0,0,0,0
2021-08-16 04:00,783.4,34.8,2113,1,,5,1,0,0,0,0
2021-08-16 05:00,783.2,34.7,2115,3,,3,3,0,0,0,0
2021-08-16 06:00,783.1,35.2,2116,3,,4,1,1,0,0,0
2021-08-16 07:00,782.5,35.5,2122,3,,4,1,1,0,0,0
2021-08-16 08:00,782.1,35.4,2126,1,,5,1,0,0,0,0
2021-08-16 09:00,782.4,35.3,2123,1,,5,1,0,0,0,0
2021-08-16 10:00,782.1,33.5,2126,3,,4,1,1,0,0,0
2021-08-16 11:00,783,34.8,2117,1,,5,1,0,0,0,0
2021-08-16 12:00,781.7,34.2,2131,1,,5,1,0,0,0,0
2021-08-16 13:00,782.3,34.1,2125,1,,5,1,0,0,0,0
2021-08-16 14:00,782.3,34,2124,0,,6,0,0,0,0,0
2021-08-16 15:00,782.2,33.8,2125,0,,6,0,0,0,0,0
2021-08-16 16:00,782.2,33.9,2126,0,,6,0,0,0,0,0
2021-08-16 17:00,782.1,31.9,2126,0,,6,0,0,0,0,0
2021-08-16 18:00,781.6,28.3,2132,0,,6,0,0,0,0,0
2021-08-16 19:00,781.5,32.4,2132,0,,6,0,0,0,0,0
2021-08-16 20:00,781.5,33.2,2132,0,,6,0,0,0,0,0
2021-08-16 21:00,781.5,32.8,2133,0,,6,0,0,0,0,0
2021-08-16 22:00,781.8,34,2129,0,,6,0,0,0,0,0
2021-08-16 23:00,783.4,32.2,2113,2,,4,2,0,0,0,0
2021-08-17 00:00,783.4,35.7,2113,1,,5,1,0,0,0,0
2021-08-17 01:00,783.4,34.4,2113,2,,4,2,0,0,0,0
2021-08-17 02:00,784.2,35.2,2105,2,,5,0,1,0,0,0
2021-08-17 03:00,783.9,35.6,2108,8,,0,4,2,0,0,0
2021-08-17 04:00,784.2,31.4,2105,4,,3,2,1,0,0,0
2021-08-17 05:00,783.3,35.3,2114,5,,3,1,2,0,0,0
2021-08-17 06:00,783.6,36,2111,3,,4,1,1,0,0,0
2021-08-17 07:00,783.3,35.4,2114,0,,6,0,0,0,0,0
2021-08-17 08:00,782.7,35.6,2120,2,,4,2,0,0,0,0
2021-08-17 09:00,782.3,34.1,2125,0,,6,0,0,0,0,0
2021-08-17 10:00,783.3,35.7,2115,0,,6,0,0,0,0,0
2021-08-17 11:00,783.2,35.2,2115,1,,5,1,0,0,0,0
2021-08-17 12:00,782.7,35.5,2120,2,,4,2,0,0,0,0
2021-08-17 13:00,783.4,33.3,2113,0,,6,0,0,0,0,0
2021-08-17 14:00,783.9,33.7,2108,0,,6,0,0,0,0,0
2021-08-17 15:00,784,33.6,2107,0,,6,0,0,0,0,0
2021-08-17 16:00,783.7,33.9,2110,0,,6,0,0,0,0,0
2021-08-17 17:00,783.5,33.4,2112,0,,6,0,0,0,0,0
2021-08-17 18:00,783.3,34,2114,0,,6,0,0,0,0,0
2021-08-17 19:00,782.7,34,2120,0,,6,0,0,0,0,0
2021-08-17 20:00,782.5,30.5,2122,0,,6,0,0,0,0,0
2021-08-17 21:00,782.9,30.7,2118,0,,6,0,0,0,0,0
2021-08-17 22:00,782.7,34.5,2121,0,,6,0,0,0,0,0
2021-08-17 23:00,784.2,35,2105,3,,5,0,0,1,0,0
2021-08-18 00:00,784.3,36.1,2104,1,,5,1,0,0,0,0
2021-08-18 01:00,785.1,36.1,2095,3,,3,3,0,0,0,0
2021-08-18 02:00,784.6,35.5,2101,2,,4,2,0,0,0,0
2021-08-18 03:00,784.3,35.1,2103,3,,3,3,0,0,0,0
2021-08-18 04:00,784.3,35.6,2104,2,,5,0,1,0,0,0
2021-08-18 05:00,783.8,36.4,2109,4,,3,2,1,0,0,0
2021-08-18 06:00,783.3,37,2114,3,,3,3,0,0,0,0
2021-08-18 07:00,782.5,35.8,2122,0,,6,0,0,0,0,0
2021-08-18 08:00,782.6,36.3,2122,5,,3,1,2,0,0,0
2021-08-18 09:00,781.4,36.3,2134,3,,4,1,1,0,0,0
2021-08-18 10:00,782,35.1,2127,2,,4,2,0,0,0,0
2021-08-18 11:00,782.8,34.7,2119,2,,5,0,1,0,0,0
2021-08-18 12:00,782.3,36.1,2125,2,,5,0,1,0,0,0
2021-08-18 13:00,782.8,35.4,2119,0,,6,0,0,0,0,0
2021-08-18 14:00,783.3,34.1,2114,0,,6,0,0,0,0,0
2021-08-18 15:00,783.2,33.9,2115,0,,6,0,0,0,0,0
2021-08-18 16:00,783,34.4,2118,0,,6,0,0,0,0,0
2021-08-18 17:00,782.8,34.5,2119,0,,6,0,0,0,0,0
2021-08-18 18:00,782.4,34.2,2123,0,,6,0,0,0,0,0
2021-08-18 19:00,782.1,33.9,2126,0,,6,0,0,0,0,0
2021-08-18 20:00,782.2,33.9,2126,0,,6,0,0,0,0,0
2021-08-18 21:00,782.1,27.6,2126,0,,6,0,0,0,0,0
2021-08-18 22:00,782.7,28.2,2120,0,,6,0,0,0,0,0
2021-08-18 23:00,783.9,33.7,2108,1,,5,1,0,0,0,0
2021-08-19 00:00,784.1,35.7,2106,0,,6,0,0,0,0,0
2021-08-19 01:00,784.2,35.3,2105,2,,5,0,1,0,0,0
2021-08-19 02:00,785.1,36.3,2096,3,,4,1,1,0,0,0
2021-08-19 03:00,784.8,36,2099,2,,4,2,0,0,0,0
2021-08-19 04:00,784.5,35.5,2101,0,,6,0,0,0,0,0
2021-08-19 05:00,784.5,35.6,2102,3,,3,3,0,0,0,0
2021-08-19 06:00,784.3,35.9,2104,2,,4,2,0,0,0,0
2021-08-19 07:00,784,35.5,2107,3,,3,3,0,0,0,0
2021-08-19 08:00,784.1,36,2106,2,,4,2,0,0,0,0
2021-08-19 09:00,783.7,35.7,2110,4,,3,2,1,0,0,0
2021-08-19 10:00,784.2,35.5,2105,0,,6,0,0,0,0,0
2021-08-19 11:00,784.4,34.4,2103,2,,4,2,0,0,0,0
2021-08-19 12:00,784.1,34.9,2106,1,,5,1,0,0,0,0
2021-08-19 13:00,784.3,34.1,2104,0,,6,0,0,0,0,0
2021-08-19 14:00,784.8,33.6,2099,0,,6,0,0,0,0,0
2021-08-19 15:00,784.8,33.3,2098,0,,6,0,0,0,0,0
2021-08-19 16:00,784.6,28.4,2100,0,,6,0,0,0,0,0
2021-08-19 17:00,784.2,33.8,2105,0,,6,0,0,0,0,0
2021-08-19 18:00,783.7,33,2110,0,,6,0,0,0,0,0
2021-08-19 19:00,783.4,33.1,2113,0,,6,0,0,0,0,0
2021-08-19 20:00,783.2,33,2115,0,,6,0,0,0,0,0
2021-08-19 21:00,783,30.9,2117,0,,6,0,0,0,0,0
