"series","timestamp","value","label"
"acceleration",NA,1,""
"acceleration",NA,2,""
"acceleration",NA,2,""
"acceleration",NA,1,""
"acceleration",NA,7,""
"acceleration",NA,3,""
"acceleration",NA,2,""
"acceleration",NA,2,""
"acceleration",NA,5,""
"acceleration",NA,3,""
"acceleration",NA,5,""
"acceleration",NA,3,""
"acceleration",NA,1,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,1,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,5,""
"acceleration",NA,3,""
"acceleration",NA,5,""
"acceleration",NA,1,""
"acceleration",NA,1,""
"acceleration",NA,5,""
"acceleration",NA,1,""
"acceleration",NA,6,""
"acceleration",NA,2,""
"acceleration",NA,4,""
"acceleration",NA,1,""
"acceleration",NA,2,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,1,""
"acceleration",NA,1,""
"acceleration",NA,1,""
"acceleration",NA,1,""
"acceleration",NA,3,""
"acceleration",NA,4,""
"acceleration",NA,2,""
"acceleration",NA,3,""
"acceleration",NA,3,""
"acceleration",NA,5,""
"acceleration",NA,4,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,1,""
"acceleration",NA,0,""
"acceleration",NA,1,""
"acceleration",NA,2,""
"acceleration",NA,2,""
"acceleration",NA,0,""
"acceleration",NA,2,""
"acceleration",NA,2,""
"acceleration",NA,0,""
"acceleration",NA,1,""
"acceleration",NA,3,""
"acceleration",NA,2,""
"acceleration",NA,2,""
"acceleration",NA,1,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,2,""
"acceleration",NA,2,""
"acceleration",NA,1,""
"acceleration",NA,5,""
"acceleration",NA,2,""
"acceleration",NA,5,""
"acceleration",NA,4,""
"acceleration",NA,6,""
"acceleration",NA,1,""
"acceleration",NA,3,""
"acceleration",NA,2,""
"acceleration",NA,3,""
"acceleration",NA,0,""
"acceleration",NA,1,""
"acceleration",NA,1,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,0,""
"acceleration",NA,3,""
