series,timestamp,value,label
pressure,2021-08-15T01:00:18.000Z,782.6,
pressure,2021-08-15T02:00:18.000Z,781.7,
pressure,2021-08-15T03:00:18.000Z,783,
pressure,2021-08-15T04:00:18.000Z,783.3,
pressure,2021-08-15T05:00:18.000Z,785,
pressure,2021-08-15T06:00:18.000Z,784.3,
pressure,2021-08-15T07:00:18.000Z,782.2,
pressure,2021-08-15T08:00:18.000Z,781.8,
pressure,2021-08-15T09:00:18.000Z,781.8,
pressure,2021-08-15T10:00:18.000Z,781.7,
pressure,2021-08-15T11:00:18.000Z,782.4,
pressure,2021-08-15T12:00:18.000Z,783.3,
pressure,2021-08-15T13:00:18.000Z,783.5,
pressure,2021-08-15T14:00:18.000Z,783.8,
pressure,2021-08-15T15:00:18.000Z,784,
pressure,2021-08-15T16:00:18.000Z,783.8,
pressure,2021-08-15T17:00:18.000Z,783.6,
pressure,2021-08-15T18:00:18.000Z,783.4,
pressure,2021-08-15T19:00:18.000Z,783.2,
pressure,2021-08-15T20:00:18.000Z,783,
pressure,2021-08-15T21:00:18.000Z,782.9,
pressure,2021-08-15T22:00:18.000Z,783.1,
pressure,2021-08-15T23:00:18.000Z,783.1,
pressure,2021-08-16T00:00:18.000Z,783.4,
pressure,2021-08-16T01:00:18.000Z,783.5,
pressure,2021-08-16T02:00:18.000Z,783.1,
pressure,2021-08-16T03:00:18.000Z,783.4,
pressure,2021-08-16T04:00:18.000Z,783.4,
pressure,2021-08-16T05:00:18.000Z,783.2,
pressure,2021-08-16T06:00:18.000Z,783.1,
pressure,2021-08-16T07:00:18.000Z,782.5,
pressure,2021-08-16T08:00:18.000Z,782.1,
pressure,2021-08-16T09:00:18.000Z,782.4,
pressure,2021-08-16T10:00:18.000Z,782.1,
pressure,2021-08-16T11:00:18.000Z,783,
pressure,2021-08-16T12:00:18.000Z,781.7,
pressure,2021-08-16T13:00:18.000Z,782.3,
pressure,2021-08-16T14:00:18.000Z,782.3,
pressure,2021-08-16T15:00:18.000Z,782.2,
pressure,2021-08-16T16:00:18.000Z,782.2,
pressure,2021-08-16T17:00:18.000Z,782.1,
pressure,2021-08-16T18:00:18.000Z,781.6,
pressure,2021-08-16T19:00:18.000Z,781.5,
pressure,2021-08-16T20:00:18.000Z,781.5,
pressure,2021-08-16T21:00:18.000Z,781.5,
pressure,2021-08-16T22:00:18.000Z,781.8,
pressure,2021-08-16T23:00:18.000Z,783.4,
pressure,2021-08-17T00:00:18.000Z,783.4,
pressure,2021-08-17T01:00:18.000Z,783.4,
pressure,2021-08-17T02:00:18.000Z,784.2,
pressure,2021-08-17T03:00:18.000Z,783.9,
pressure,2021-08-17T04:00:18.000Z,784.2,
pressure,2021-08-17T05:00:18.000Z,783.3,
pressure,2021-08-17T06:00:18.000Z,783.6,
pressure,2021-08-17T07:00:18.000Z,783.3,
pressure,2021-08-17T08:00:18.000Z,782.7,
pressure,2021-08-17T09:00:18.000Z,782.3,
pressure,2021-08-17T10:00:18.000Z,783.3,
pressure,2021-08-17T11:00:18.000Z,783.2,
pressure,2021-08-17T12:00:18.000Z,782.7,
pressure,2021-08-17T13:00:18.000Z,783.4,
pressure,2021-08-17T14:00:18.000Z,783.9,
pressure,2021-08-17T15:00:18.000Z,784,
pressure,2021-08-17T16:00:18.000Z,783.7,
pressure,2021-08-17T17:00:18.000Z,783.5,
pressure,2021-08-17T18:00:18.000Z,783.3,
pressure,2021-08-17T19:00:18.000Z,782.7,
pressure,2021-08-17T20:00:18.000Z,782.5,
pressure,2021-08-17T21:00:18.000Z,782.9,
pressure,2021-08-17T22:00:18.000Z,782.7,
pressure,2021-08-17T23:00:18.000Z,784.2,
pressure,2021-08-18T00:00:18.000Z,784.3,
pressure,2021-08-18T01:00:18.000Z,785.1,
pressure,2021-08-18T02:00:18.000Z,784.6,
pressure,2021-08-18T03:00:18.000Z,784.3,
pressure,2021-08-18T04:00:18.000Z,784.3,
pressure,2021-08-18T05:00:18.000Z,783.8,
pressure,2021-08-18T06:00:18.000Z,783.3,
pressure,2021-08-18T07:00:18.000Z,782.5,
pressure,2021-08-18T08:00:18.000Z,782.6,
