     lon  lat sta_id                                                              
1  105.3 34.5      1
2  106.5 35.5      2
3  105.3 34.5      3
4  104.3 33.1      4
5  107.7 34.1      5
6  111.7 32.7      6
7  115.1 25.3      7
8  114.9 29.1      8
9  111.5 29.9      9
10 110.3 26.3     10
11 104.3 19.5     11
12 100.3 16.3     13
13 112.1 23.7     14
14 114.3 38.9     15
15 109.3 34.3     16
16 105.7 25.3     17
17 106.3 29.1     18
18 106.1 29.9     19
19 109.1 25.5     20
20 101.5 36.1     21
21 103.3 36.1     22
22 101.7 37.1     23
