tag_id,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,s,t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
56C,1,2,37.01987498,101.585549,36.3125,102.6875,12920,64758,1,2021-10-08T13:30:00Z,2021-10-08T17:30:00Z,1,125.96227487603711,128.2187483674735,25.228589144193524,-20.723988269033505,1.037682933637626,7.734547372854228
56C,2,3,36.3125,102.6875,36.4375,105.8125,64758,120557,1,2021-10-10T14:30:00Z,2021-10-10T22:30:00Z,1,280.752014803847,86.24211968849954,34.977172927315436,2.304928329222213,3.8715751300048846,17.562843708906172
56C,3,4,36.4375,105.8125,35.5625,104.9375,120557,168428,1,2021-10-12T16:30:00Z,2021-10-12T19:30:00Z,1,125.10030409669302,219.35479087854105,-26.412942399879917,-32.34921896441316,-3.070481469340013,-19.070899506235758
56C,4,5,35.5625,104.9375,33.9375,105.6875,168428,219529,1,2021-10-20T17:30:00Z,2021-10-20T22:30:00Z,1,192.90654525075192,158.93114344817081,13.85511212664319,-36.12679168235713,1.8001241785675073,-5.528325005160525
56C,5,6,33.9375,105.6875,32.9375,107.0625,219529,271865,1,2021-10-28T12:30:00Z,2021-10-28T18:30:00Z,1,169.25890848260767,130.55940590404532,21.410693548688595,-18.41105194512424,-1.2928350514322928,3.1418754466883354
56C,6,7,32.9375,107.0625,31.6875,108.6875,271865,324699,1,2021-10-29T15:30:00Z,2021-10-29T23:30:00Z,1,206.46884930562643,131.73394471420784,19.241727374494005,-17.246963878762593,-0.661914878580087,4.687338107366557
56C,7,8,31.6875,108.6875,29.9375,108.8125,324699,374561,1,2021-11-05T12:30:00Z,2021-11-05T20:30:00Z,1,194.38431249558772,176.43995590574855,1.5075178943299374,-24.350289053016642,1.1815533837280279,10.549157738279344
56C,8,9,29.9375,108.8125,28.3125,109.6875,374561,425910,1,2021-11-08T14:30:00Z,2021-11-08T22:30:00Z,1,199.22545961936532,154.48121479547672,10.720391890631653,-22.571589339058054,0.2448907629852297,0.2621381268653838
56C,9,10,28.3125,109.6875,26.6875,109.6875,425910,475523,1,2021-11-09T15:30:00Z,2021-11-09T20:30:00Z,1,180.0686543324931,180,-6.645944081531419e-15,-36.178834507813924,3.2840828454437236,-10.261420583416745
56C,10,15,26.6875,109.6875,13.6875,101.0625,475523,508115,1,2021-11-23T12:30:00Z,2021-12-04T18:30:00Z,5,1696.769395593376,213.66628301897325,-24.749562829361253,-37.37139332315434,-7.974502498957824,-7.406836006003726
56C,15,16,13.6875,101.0625,16.0625,101.5625,508115,558688,1,2022-04-09T14:30:00Z,2022-04-09T23:30:00Z,1,268.239100559222,11.508159601625778,5.9446766019813,29.38246277740675,0.3336570678710968,2.166422381591797
56C,16,17,16.0625,101.5625,18.5625,103.1875,558688,611492,1,2022-04-10T13:30:00Z,2022-04-10T22:30:00Z,1,326.17372193004945,31.741040222617528,19.059543984714722,31.000646718545305,9.326096960449224,4.178398767089842
56C,17,18,18.5625,103.1875,20.0625,106.0625,611492,666784,1,2022-04-11T14:30:00Z,2022-04-11T21:30:00Z,1,344.75050004032715,60.73923828062186,42.94907170140091,24.206193125449015,18.999315582275386,10.726058033098488
56C,18,19,20.0625,106.0625,21.3125,106.3125,666784,716870,1,2022-04-12T16:30:00Z,2022-04-12T20:30:00Z,1,140.82087453976084,10.614884924057947,6.482172171694719,34.79228879599593,13.223040930175781,0.47391468200683656
56C,19,20,21.3125,106.3125,24.0625,107.3125,716870,768432,1,2022-04-14T15:30:00Z,2022-04-14T21:30:00Z,1,321.3987223704412,18.454763543844706,16.947372103843488,51.07739200951312,11.578665078735352,20.44523670959472
56C,20,21,24.0625,107.3125,26.3125,109.6875,768432,822726,1,2022-04-19T13:30:00Z,2022-04-19T22:30:00Z,1,345.56881203072635,43.345083706092225,26.337726399184643,28.059000170237997,8.69157237548828,0.3224065917968738
56C,21,22,26.3125,109.6875,27.3125,108.9375,822726,870830,1,2022-04-20T13:30:00Z,2022-04-20T18:30:00Z,1,133.5527287896369,326.2295206876017,-14.837058541736027,22.307450102645596,10.602745510253905,13.831269389648432
56C,22,23,27.3125,108.9375,28.8125,106.6875,870830,915954,1,2022-04-22T12:30:00Z,2022-04-22T21:30:00Z,1,276.6758169465186,307.4513966784436,-24.385975799710696,18.77669240395718,4.610236010742187,3.4294933288574203
56C,23,26,28.8125,106.6875,37.01987498,101.585549,915954,955320,1,2022-04-23T13:30:00Z,2022-04-26T21:30:00Z,3,1027.303841928278,333.68654299870286,-20.75692252957361,42.23164158228739,-0.5552945967240775,12.079057728715377
5CF,1,2,62.28616,88.97598,60.9,90.69999999999999,984,37496,1,2021-09-07T14:30:00Z,2021-09-07T19:30:00Z,1,179.54323751705482,148.58881617240309,19.48935670267415,-30.899541617901505,-11.315181657550045,1.2159717202148443
5CF,2,3,60.9,90.69999999999999,60.3,91.5,37496,72779,1,2021-09-08T13:30:00Z,2021-09-08T17:30:00Z,1,79.93858143135172,146.4020612069237,11.030770891540618,-16.630764667807934,-10.980065293144218,14.787720923294065
5CF,3,4,60.3,91.5,59.9,93.5,72779,109531,1,2021-09-09T14:30:00Z,2021-09-09T19:30:00Z,1,119.85033410391827,110.95923791709282,22.327941207290927,-8.567471949099517,8.500233715017705,22.784523339370743
5CF,4,5,59.9,93.5,57.5,98.69999999999999,109531,150213,1,2021-09-10T13:30:00Z,2021-09-10T22:30:00Z,1,402.7206971916226,129.3220135012901,34.53344160948587,-28.339489490446173,16.22011063783264,12.025297772506715
5CF,5,6,57.5,98.69999999999999,57.3,98.5,150213,184269,1,2021-09-11T13:30:00Z,2021-09-11T17:30:00Z,1,25.31152686955153,208.4455544626104,-3.006965641619266,-5.561551575513864,-1.1787339961662302,24.097000116558085
5CF,6,7,57.3,98.5,55.3,102.1,184269,222989,1,2021-09-13T12:30:00Z,2021-09-13T18:30:00Z,1,314.98228725254694,133.46858505967293,38.013540728086014,-36.108718550417954,20.696779371276854,-5.62381343095906
5CF,7,8,55.3,102.1,51.699999999999996,106.69999999999999,222989,262942,1,2021-09-14T12:30:00Z,2021-09-14T21:30:00Z,1,503.4668883242875,140.82816628642718,35.26202663752914,-43.38031081248428,13.732766502593996,-4.940853162572222
5CF,8,9,51.699999999999996,106.69999999999999,48.699999999999996,109.9,262942,301177,1,2021-09-15T11:30:00Z,2021-09-15T20:30:00Z,1,404.3305525270973,144.3620569514789,26.126953530839444,-36.54166957158698,24.39164145111084,-3.8059194240485277
5CF,9,10,48.699999999999996,109.9,48.3,110.5,301177,336214,1,2021-09-16T15:30:00Z,2021-09-16T17:30:00Z,1,62.80552313349337,134.8647668627234,22.215883997540708,-22.1766874018004,6.766810891761781,0.0015392424697913353
5CF,10,11,48.3,110.5,47.5,110.1,336214,370028,1,2021-09-20T11:30:00Z,2021-09-20T14:30:00Z,1,93.84365984054863,198.73272937696663,-10.027795365879415,-29.659170784994256,-7.832986206878662,0.9888784570465092
5CF,11,12,47.5,110.1,42.1,112.30000000000001,370028,407050,1,2021-09-21T11:30:00Z,2021-09-21T22:30:00Z,1,624.7532592380117,163.04100817993685,16.541732376391906,-54.42032321881013,18.488851346968218,-9.285724336138639
5CF,12,13,42.1,112.30000000000001,39.699999999999996,112.1,407050,441117,1,2021-09-22T11:30:00Z,2021-09-22T18:30:00Z,1,267.05680792138025,183.68376104019086,-2.447832680304066,-38.163862574308375,22.65631184228516,-4.927848499954225
5CF,13,14,39.699999999999996,112.1,37.49999999999999,110.5,441117,473468,1,2021-09-25T11:30:00Z,2021-09-25T20:30:00Z,1,281.1783102646207,210.21647664194734,-15.703630948274437,-27.0735227737999,-5.5244630492825015,6.45144165021261
5CF,14,15,37.49999999999999,110.5,35.3,109.9,473468,507044,1,2021-09-26T12:30:00Z,2021-09-26T17:30:00Z,1,249.9873332148691,192.6122587331686,-10.904851708953842,-48.94639661666626,-0.16122605640869225,-17.619596793264776
5CF,15,16,35.3,109.9,34.49999999999999,109.9,507044,541348,1,2021-09-28T13:30:00Z,2021-09-28T16:30:00Z,1,88.75100079324402,180,-5.45308232330788e-15,-29.68519754487323,2.065506095443725,-3.6422307268880223
5CF,16,17,34.49999999999999,109.9,32.3,110.30000000000001,541348,576149,1,2021-10-09T16:30:00Z,2021-10-09T22:30:00Z,1,246.82598147459774,171.21834169378974,6.274467354397776,-40.80497217920051,0.09980459998066936,-13.432433190483103
5CF,17,18,32.3,110.30000000000001,31.099999999999998,110.1,576149,610210,1,2021-10-11T12:30:00Z,2021-10-11T18:30:00Z,1,134.40184917290262,188.16239091984522,-3.177537711721329,-22.26096744521075,-4.0011332339070655,8.716569572041827
5CF,18,19,31.099999999999998,110.1,30.299999999999997,107.9,610210,641819,1,2021-10-12T13:30:00Z,2021-10-12T20:30:00Z,1,228.6587889623558,247.7425625391559,-30.205911584696093,-12.424958392186591,-11.060287759902957,8.55539365746852
5CF,19,20,30.299999999999997,107.9,29.9,106.9,641819,674896,1,2021-10-13T15:30:00Z,2021-10-13T18:30:00Z,1,106.09883503771486,245.5476876338661,-32.1673520809505,-14.701531695211587,-5.653154844589233,-3.196095263488771
5CF,20,21,29.9,106.9,27.5,105.30000000000001,674896,707248,1,2021-10-22T13:30:00Z,2021-10-22T22:30:00Z,1,308.530670772909,210.8345445069326,-17.55866901107349,-29.565945840954498,-6.736370598503962,4.222763064631145
5CF,21,22,27.5,105.30000000000001,24.9,104.5,707248,740581,1,2021-10-23T11:30:00Z,2021-10-23T20:30:00Z,1,298.94524128215676,195.6915754550765,-8.978284414241207,-32.13086213855121,-3.63550477837457,0.22370054896715175
5CF,22,23,24.9,104.5,24.499999999999993,104.30000000000001,740581,774638,1,2021-10-24T14:30:00Z,2021-10-24T18:30:00Z,1,48.710866263033374,204.59187001844745,-5.064860612184268,-11.128245841500394,6.9194722183303865,14.076244780059813
5CF,23,26,24.499999999999993,104.30000000000001,20.499999999999993,102.30000000000001,774638,806508,1,2021-10-27T12:30:00Z,2021-10-29T15:30:00Z,3,488.39355743780317,205.30894757151552,-16.05407844430634,-34.141879718846006,-10.578156742988885,1.4140420374928393
5CF,26,27,20.499999999999993,102.30000000000001,22.699999999999996,105.1,806508,844227,1,2022-04-12T13:30:00Z,2022-04-12T22:30:00Z,1,378.6622019991244,49.45606141019971,31.956140046170855,27.494304492166133,16.492962534586585,-1.8218919972737693
5CF,27,28,22.699999999999996,105.1,26.9,109.30000000000001,844227,883651,1,2022-04-13T12:30:00Z,2022-04-13T22:30:00Z,1,629.7977182810469,41.52769287298338,41.72604099274196,47.37913886769265,18.6556850793457,16.731735346069332
5CF,28,29,26.9,109.30000000000001,28.099999999999994,109.1,883651,917700,1,2022-04-18T13:30:00Z,2022-04-18T19:30:00Z,1,134.43417082446615,351.5926531316593,-3.2735016817001936,22.266518645687594,-11.756692210388184,-5.608894631958004
5CF,29,30,28.099999999999994,109.1,28.9,109.9,917700,952976,1,2022-04-19T16:30:00Z,2022-04-19T20:30:00Z,1,118.30168116662306,41.266919305465535,19.49174219422358,22.328552271251247,2.537914279174804,1.775545836639406
5CF,30,31,28.9,109.9,30.099999999999994,110.69999999999999,952976,988250,1,2022-04-20T14:30:00Z,2022-04-20T18:30:00Z,1,153.9790588347348,30.05457783503175,19.262899581930096,33.46166227781459,6.925302493286133,3.6674536193847675
5CF,31,32,30.099999999999994,110.69999999999999,31.299999999999997,112.9,988250,1025239,1,2022-04-26T13:30:00Z,2022-04-26T20:30:00Z,1,249.23023246382726,57.18130592808018,29.894474275986934,19.374677209126293,-9.19932904096331,5.2576473815918
5CF,32,33,31.299999999999997,112.9,35.49999999999999,110.9,1025239,1057068,1,2022-05-02T12:30:00Z,2022-05-02T21:30:00Z,1,501.57562704034626,338.77213937781227,-20.156121727072225,52.13922465134852,18.429297849527995,-1.3549678009033195
