tag_id,stap_id,type,lat,lon,ind,j,interp,known
56C,1,simulation,37.01987498,101.585549,12920,1,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,2,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,3,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,4,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,5,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,6,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,7,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,8,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,9,,TRUE
56C,1,simulation,37.01987498,101.585549,12920,10,,TRUE
56C,2,simulation,36.5625,102.1875,14164,1,,FALSE
56C,2,simulation,36.1875,102.8125,15407,2,,FALSE
56C,2,simulation,36.5625,102.9375,15652,3,,FALSE
56C,2,simulation,36.5625,102.8125,15404,4,,FALSE
56C,2,simulation,35.8125,102.6875,15162,5,,FALSE
56C,2,simulation,36.5625,102.9375,15652,6,,FALSE
56C,2,simulation,36.4375,102.3125,14413,7,,FALSE
56C,2,simulation,36.1875,102.6875,15159,8,,FALSE
56C,2,simulation,35.8125,102.3125,14418,9,,FALSE
56C,2,simulation,35.9375,102.8125,15409,10,,FALSE
56C,3,simulation,36.8125,104.6875,19122,1,,FALSE
56C,3,simulation,36.0625,105.5625,20864,2,,FALSE
56C,3,simulation,35.3125,105.1875,20126,3,,FALSE
56C,3,simulation,36.4375,105.1875,20117,4,,FALSE
56C,3,simulation,34.9375,104.3125,18393,5,,FALSE
56C,3,simulation,35.3125,103.3125,16406,6,,FALSE
56C,3,simulation,34.9375,104.6875,19137,7,,FALSE
56C,3,simulation,35.6875,104.4375,18635,8,,FALSE
56C,3,simulation,37.0625,104.3125,18376,9,,FALSE
56C,3,simulation,35.3125,105.1875,20126,10,,FALSE
56C,4,simulation,35.9375,106.0625,21857,1,,FALSE
56C,4,simulation,35.3125,104.4375,18638,2,,FALSE
56C,4,simulation,34.8125,104.4375,18642,3,,FALSE
56C,4,simulation,35.0625,104.9375,19632,4,,FALSE
56C,4,simulation,35.0625,104.4375,18640,5,,FALSE
56C,4,simulation,34.6875,104.5625,18891,6,,FALSE
56C,4,simulation,35.4375,104.6875,19133,7,,FALSE
56C,4,simulation,35.1875,104.4375,18639,8,,FALSE
56C,4,simulation,35.3125,104.5625,18886,9,,FALSE
56C,4,simulation,35.8125,105.3125,20370,10,,FALSE
56C,5,simulation,34.9375,106.8125,23353,1,,FALSE
56C,5,simulation,33.0625,105.4375,20640,2,,FALSE
56C,5,simulation,33.6875,106.3125,22371,3,,FALSE
56C,5,simulation,34.3125,106.5625,22862,4,,FALSE
56C,5,simulation,34.3125,106.4375,22614,5,,FALSE
56C,5,simulation,33.6875,105.6875,21131,6,,FALSE
56C,5,simulation,33.9375,105.8125,21377,7,,FALSE
56C,5,simulation,33.9375,106.3125,22369,8,,FALSE
56C,5,simulation,34.6875,106.9375,23603,9,,FALSE
56C,5,simulation,35.5625,107.4375,24588,10,,FALSE
56C,6,simulation,32.6875,108.9375,27587,1,,FALSE
56C,6,simulation,34.5625,110.0625,29804,2,,FALSE
56C,6,simulation,32.3125,105.6875,21142,3,,FALSE
56C,6,simulation,34.6875,108.6875,27075,4,,FALSE
56C,6,simulation,33.0625,109.1875,28080,5,,FALSE
56C,6,simulation,31.4375,105.0625,19909,6,,FALSE
56C,6,simulation,32.6875,108.9375,27587,7,,FALSE
56C,6,simulation,31.0625,105.4375,20656,8,,FALSE
56C,6,simulation,33.3125,107.3125,24358,9,,FALSE
56C,6,simulation,34.5625,108.3125,26332,10,,FALSE
56C,7,simulation,31.5625,108.9375,27596,1,,FALSE
56C,7,simulation,32.5625,107.5625,24860,2,,FALSE
56C,7,simulation,31.9375,110.5625,30817,3,,FALSE
56C,7,simulation,31.6875,110.1875,30075,4,,FALSE
56C,7,simulation,31.8125,109.3125,28338,5,,FALSE
56C,7,simulation,32.4375,107.8125,25357,6,,FALSE
56C,7,simulation,31.6875,110.3125,30323,7,,FALSE
56C,7,simulation,31.5625,109.0625,27844,8,,FALSE
56C,7,simulation,31.9375,108.8125,27345,9,,FALSE
56C,7,simulation,31.9375,108.9375,27593,10,,FALSE
56C,8,simulation,29.4375,108.4375,26621,1,,FALSE
56C,8,simulation,30.3125,108.6875,27110,2,,FALSE
56C,8,simulation,30.1875,109.3125,28351,3,,FALSE
56C,8,simulation,30.3125,109.5625,28846,4,,FALSE
56C,8,simulation,29.5625,109.0625,27860,5,,FALSE
56C,8,simulation,29.5625,109.0625,27860,6,,FALSE
56C,8,simulation,29.0625,108.5625,26872,7,,FALSE
56C,8,simulation,30.4375,109.6875,29093,8,,FALSE
56C,8,simulation,30.3125,108.8125,27358,9,,FALSE
56C,8,simulation,29.6875,108.8125,27363,10,,FALSE
56C,9,simulation,28.9375,110.9375,31585,1,,FALSE
56C,9,simulation,30.5625,110.8125,31324,2,,FALSE
56C,9,simulation,25.3125,112.9375,35582,3,,FALSE
56C,9,simulation,28.6875,110.6875,31091,4,,FALSE
56C,9,simulation,28.6875,109.6875,29107,5,,FALSE
56C,9,simulation,25.6875,110.3125,30371,6,,FALSE
56C,9,simulation,27.6875,109.4375,28619,7,,FALSE
56C,9,simulation,29.4375,108.1875,26125,8,,FALSE
56C,9,simulation,26.9375,111.1875,32097,9,,FALSE
56C,9,simulation,27.3125,110.0625,29862,10,,FALSE
56C,10,simulation,27.1875,109.5625,28871,1,,FALSE
56C,10,simulation,27.4375,109.0625,27877,2,,FALSE
56C,10,simulation,26.6875,109.8125,29371,3,,FALSE
56C,10,simulation,27.3125,109.6875,29118,4,,FALSE
56C,10,simulation,27.6875,109.5625,28867,5,,FALSE
56C,10,simulation,27.1875,109.8125,29367,6,,FALSE
56C,10,simulation,25.8125,108.5625,26898,7,,FALSE
56C,10,simulation,27.6875,109.0625,27875,8,,FALSE
56C,10,simulation,26.9375,109.4375,28625,9,,FALSE
56C,10,simulation,26.4375,109.5625,28877,10,,FALSE
56C,11,simulation,,,,1,,FALSE
56C,11,simulation,,,,2,,FALSE
56C,11,simulation,,,,3,,FALSE
56C,11,simulation,,,,4,,FALSE
56C,11,simulation,,,,5,,FALSE
56C,11,simulation,,,,6,,FALSE
56C,11,simulation,,,,7,,FALSE
56C,11,simulation,,,,8,,FALSE
56C,11,simulation,,,,9,,FALSE
56C,11,simulation,,,,10,,FALSE
56C,12,simulation,,,,1,,FALSE
56C,12,simulation,,,,2,,FALSE
56C,12,simulation,,,,3,,FALSE
56C,12,simulation,,,,4,,FALSE
56C,12,simulation,,,,5,,FALSE
56C,12,simulation,,,,6,,FALSE
56C,12,simulation,,,,7,,FALSE
56C,12,simulation,,,,8,,FALSE
56C,12,simulation,,,,9,,FALSE
56C,12,simulation,,,,10,,FALSE
56C,13,simulation,,,,1,,FALSE
56C,13,simulation,,,,2,,FALSE
56C,13,simulation,,,,3,,FALSE
56C,13,simulation,,,,4,,FALSE
56C,13,simulation,,,,5,,FALSE
56C,13,simulation,,,,6,,FALSE
56C,13,simulation,,,,7,,FALSE
56C,13,simulation,,,,8,,FALSE
56C,13,simulation,,,,9,,FALSE
56C,13,simulation,,,,10,,FALSE
56C,14,simulation,,,,1,,FALSE
56C,14,simulation,,,,2,,FALSE
56C,14,simulation,,,,3,,FALSE
56C,14,simulation,,,,4,,FALSE
56C,14,simulation,,,,5,,FALSE
56C,14,simulation,,,,6,,FALSE
56C,14,simulation,,,,7,,FALSE
56C,14,simulation,,,,8,,FALSE
56C,14,simulation,,,,9,,FALSE
56C,14,simulation,,,,10,,FALSE
56C,15,simulation,14.9375,100.5625,11113,1,,FALSE
56C,15,simulation,14.4375,101.1875,12357,2,,FALSE
56C,15,simulation,14.1875,100.3125,10623,3,,FALSE
56C,15,simulation,13.4375,101.0625,12117,4,,FALSE
56C,15,simulation,14.3125,101.3125,12606,5,,FALSE
56C,15,simulation,13.8125,101.4375,12858,6,,FALSE
56C,15,simulation,14.5625,100.4375,10868,7,,FALSE
56C,15,simulation,14.1875,100.4375,10871,8,,FALSE
56C,15,simulation,14.3125,100.1875,10374,9,,FALSE
56C,15,simulation,14.0625,100.0625,10128,10,,FALSE
56C,16,simulation,16.1875,102.0625,14079,1,,FALSE
56C,16,simulation,18.1875,100.3125,10591,2,,FALSE
56C,16,simulation,18.4375,104.3125,18525,3,,FALSE
56C,16,simulation,17.1875,100.8125,11591,4,,FALSE
56C,16,simulation,18.5625,102.3125,14556,5,,FALSE
56C,16,simulation,16.5625,101.6875,13332,6,,FALSE
56C,16,simulation,16.8125,101.1875,12338,7,,FALSE
56C,16,simulation,16.4375,101.9375,13829,8,,FALSE
56C,16,simulation,16.8125,100.8125,11594,9,,FALSE
56C,16,simulation,19.5625,101.4375,12812,10,,FALSE
56C,17,simulation,17.6875,106.1875,22251,1,,FALSE
56C,17,simulation,18.5625,104.4375,18772,2,,FALSE
56C,17,simulation,17.3125,103.8125,17542,3,,FALSE
56C,17,simulation,19.4375,104.9375,19757,4,,FALSE
56C,17,simulation,19.4375,105.5625,20997,5,,FALSE
56C,17,simulation,16.9375,104.0625,18041,6,,FALSE
56C,17,simulation,17.8125,106.3125,22498,7,,FALSE
56C,17,simulation,18.0625,104.8125,19520,8,,FALSE
56C,17,simulation,16.9375,103.6875,17297,9,,FALSE
56C,17,simulation,17.0625,102.1875,14320,10,,FALSE
56C,18,simulation,20.3125,105.8125,21486,1,,FALSE
56C,18,simulation,21.5625,105.3125,20484,2,,FALSE
56C,18,simulation,21.8125,106.0625,21970,3,,FALSE
56C,18,simulation,22.3125,105.8125,21470,4,,FALSE
56C,18,simulation,18.9375,105.6875,21249,5,,FALSE
56C,18,simulation,20.6875,105.5625,20987,6,,FALSE
56C,18,simulation,19.9375,105.9375,21737,7,,FALSE
56C,18,simulation,20.9375,105.4375,20737,8,,FALSE
56C,18,simulation,20.0625,105.5625,20992,9,,FALSE
56C,18,simulation,20.4375,105.8125,21485,10,,FALSE
56C,19,simulation,21.1875,106.8125,23463,1,,FALSE
56C,19,simulation,20.6875,105.3125,20491,2,,FALSE
56C,19,simulation,21.4375,106.5625,22965,3,,FALSE
56C,19,simulation,21.4375,105.9375,21725,4,,FALSE
56C,19,simulation,21.5625,105.9375,21724,5,,FALSE
56C,19,simulation,21.6875,105.4375,20731,6,,FALSE
56C,19,simulation,21.6875,105.8125,21475,7,,FALSE
56C,19,simulation,22.0625,105.0625,19984,8,,FALSE
56C,19,simulation,21.5625,107.8125,25444,9,,FALSE
56C,19,simulation,21.5625,106.6875,23212,10,,FALSE
56C,20,simulation,24.1875,106.8125,23439,1,,FALSE
56C,20,simulation,23.6875,106.0625,21955,2,,FALSE
56C,20,simulation,23.6875,107.0625,23939,3,,FALSE
56C,20,simulation,23.6875,107.0625,23939,4,,FALSE
56C,20,simulation,24.0625,106.6875,23192,5,,FALSE
56C,20,simulation,23.9375,106.5625,22945,6,,FALSE
56C,20,simulation,23.1875,107.6875,25183,7,,FALSE
56C,20,simulation,23.8125,108.1875,26170,8,,FALSE
56C,20,simulation,23.8125,107.1875,24186,9,,FALSE
56C,20,simulation,23.8125,107.9375,25674,10,,FALSE
56C,21,simulation,28.0625,111.0625,31840,1,,FALSE
56C,21,simulation,22.0625,106.5625,22960,2,,FALSE
56C,21,simulation,22.6875,105.6875,21219,3,,FALSE
56C,21,simulation,25.4375,106.9375,23677,4,,FALSE
56C,21,simulation,23.6875,108.9375,27659,5,,FALSE
56C,21,simulation,25.0625,109.8125,29384,6,,FALSE
56C,21,simulation,23.5625,110.6875,31132,7,,FALSE
56C,21,simulation,25.4375,107.0625,23925,8,,FALSE
56C,21,simulation,23.6875,110.3125,30387,9,,FALSE
56C,21,simulation,23.5625,111.8125,33364,10,,FALSE
56C,22,simulation,28.3125,111.4375,32582,1,,FALSE
