tag_id,stap_id,start,end,known_lat,known_lon,include
56C,1,2021-08-15T01:00:00Z,2021-10-08T13:30:00Z,37.01987498,101.585549,TRUE
56C,2,2021-10-08T17:30:00Z,2021-10-10T14:30:00Z,,,TRUE
56C,3,2021-10-10T22:30:00Z,2021-10-12T16:30:00Z,,,TRUE
56C,4,2021-10-12T19:30:00Z,2021-10-20T17:30:00Z,,,TRUE
56C,5,2021-10-20T22:30:00Z,2021-10-28T12:30:00Z,,,TRUE
56C,6,2021-10-28T18:30:00Z,2021-10-29T15:30:00Z,,,TRUE
56C,7,2021-10-29T23:30:00Z,2021-11-05T12:30:00Z,,,TRUE
56C,8,2021-11-05T20:30:00Z,2021-11-08T14:30:00Z,,,TRUE
56C,9,2021-11-08T22:30:00Z,2021-11-09T15:30:00Z,,,TRUE
56C,10,2021-11-09T20:30:00Z,2021-11-23T12:30:00Z,,,TRUE
56C,11,2021-11-23T16:30:00Z,2021-11-24T11:30:00Z,,,FALSE
56C,12,2021-11-24T22:30:00Z,2021-11-25T12:30:00Z,,,FALSE
56C,13,2021-11-25T23:30:00Z,2021-11-26T12:30:00Z,,,FALSE
56C,14,2021-11-26T18:30:00Z,2021-12-04T12:30:00Z,,,FALSE
56C,15,2021-12-04T18:30:00Z,2022-04-09T14:30:00Z,,,TRUE
56C,16,2022-04-09T23:30:00Z,2022-04-10T13:30:00Z,,,TRUE
56C,17,2022-04-10T22:30:00Z,2022-04-11T14:30:00Z,,,TRUE
56C,18,2022-04-11T21:30:00Z,2022-04-12T16:30:00Z,,,TRUE
56C,19,2022-04-12T20:30:00Z,2022-04-14T15:30:00Z,,,TRUE
56C,20,2022-04-14T21:30:00Z,2022-04-19T13:30:00Z,,,TRUE
56C,21,2022-04-19T22:30:00Z,2022-04-20T13:30:00Z,,,TRUE
56C,22,2022-04-20T18:30:00Z,2022-04-22T12:30:00Z,,,TRUE
56C,23,2022-04-22T21:30:00Z,2022-04-23T13:30:00Z,,,TRUE
56C,24,2022-04-23T22:30:00Z,2022-04-24T14:30:00Z,,,FALSE
56C,25,2022-04-24T19:30:00Z,2022-04-26T13:30:00Z,,,FALSE
56C,26,2022-04-26T21:30:00Z,2022-06-05T23:30:00Z,37.01987498,101.585549,TRUE
5CF,1,2021-07-20T01:00:00Z,2021-09-07T14:30:00Z,62.28616,88.97598,TRUE
5CF,2,2021-09-07T19:30:00Z,2021-09-08T13:30:00Z,,,TRUE
5CF,3,2021-09-08T17:30:00Z,2021-09-09T14:30:00Z,,,TRUE
5CF,4,2021-09-09T19:30:00Z,2021-09-10T13:30:00Z,,,TRUE
5CF,5,2021-09-10T22:30:00Z,2021-09-11T13:30:00Z,,,TRUE
5CF,6,2021-09-11T17:30:00Z,2021-09-13T12:30:00Z,,,TRUE
5CF,7,2021-09-13T18:30:00Z,2021-09-14T12:30:00Z,,,TRUE
5CF,8,2021-09-14T21:30:00Z,2021-09-15T11:30:00Z,,,TRUE
5CF,9,2021-09-15T20:30:00Z,2021-09-16T15:30:00Z,,,TRUE
5CF,10,2021-09-16T17:30:00Z,2021-09-20T11:30:00Z,,,TRUE
5CF,11,2021-09-20T14:30:00Z,2021-09-21T11:30:00Z,,,TRUE
5CF,12,2021-09-21T22:30:00Z,2021-09-22T11:30:00Z,,,TRUE
5CF,13,2021-09-22T18:30:00Z,2021-09-25T11:30:00Z,,,TRUE
5CF,14,2021-09-25T20:30:00Z,2021-09-26T12:30:00Z,,,TRUE
5CF,15,2021-09-26T17:30:00Z,2021-09-28T13:30:00Z,,,TRUE
5CF,16,2021-09-28T16:30:00Z,2021-10-09T16:30:00Z,,,TRUE
5CF,17,2021-10-09T22:30:00Z,2021-10-11T12:30:00Z,,,TRUE
5CF,18,2021-10-11T18:30:00Z,2021-10-12T13:30:00Z,,,TRUE
5CF,19,2021-10-12T20:30:00Z,2021-10-13T15:30:00Z,,,TRUE
5CF,20,2021-10-13T18:30:00Z,2021-10-22T13:30:00Z,,,TRUE
5CF,21,2021-10-22T22:30:00Z,2021-10-23T11:30:00Z,,,TRUE
5CF,22,2021-10-23T20:30:00Z,2021-10-24T14:30:00Z,,,TRUE
5CF,23,2021-10-24T18:30:00Z,2021-10-27T12:30:00Z,,,TRUE
5CF,24,2021-10-27T19:30:00Z,2021-10-28T14:30:00Z,,,FALSE
5CF,25,2021-10-28T18:30:00Z,2021-10-29T13:30:00Z,,,FALSE
5CF,26,2021-10-29T15:30:00Z,2022-04-12T13:30:00Z,,,TRUE
5CF,27,2022-04-12T22:30:00Z,2022-04-13T12:30:00Z,,,TRUE
5CF,28,2022-04-13T22:30:00Z,2022-04-18T13:30:00Z,,,TRUE
5CF,29,2022-04-18T19:30:00Z,2022-04-19T16:30:00Z,,,TRUE
5CF,30,2022-04-19T20:30:00Z,2022-04-20T14:30:00Z,,,TRUE
5CF,31,2022-04-20T18:30:00Z,2022-04-26T13:30:00Z,,,TRUE
5CF,32,2022-04-26T20:30:00Z,2022-05-02T12:30:00Z,,,TRUE
5CF,33,2022-05-02T21:30:00Z,2022-05-05T13:30:00Z,,,TRUE
5CF,34,2022-05-05T16:30:00Z,2022-05-14T12:30:00Z,,,TRUE
5CF,35,2022-05-14T17:30:00Z,2022-05-16T12:30:00Z,,,TRUE
5CF,36,2022-05-16T16:30:00Z,2022-05-17T12:30:00Z,,,TRUE
5CF,37,2022-05-17T21:30:00Z,2022-05-18T12:30:00Z,,,TRUE
5CF,38,2022-05-18T21:30:00Z,2022-05-19T12:30:00Z,,,TRUE
5CF,39,2022-05-19T21:30:00Z,2022-05-20T13:30:00Z,,,TRUE
5CF,40,2022-05-20T21:30:00Z,2022-05-21T13:30:00Z,,,TRUE
5CF,41,2022-05-21T20:30:00Z,2022-05-22T14:30:00Z,,,TRUE
5CF,42,2022-05-22T20:30:00Z,2022-05-23T14:30:00Z,,,TRUE
5CF,43,2022-05-23T20:30:00Z,2022-05-24T15:30:00Z,,,TRUE
5CF,44,2022-05-24T20:30:00Z,2022-05-25T15:30:00Z,,,TRUE
5CF,45,2022-05-25T20:30:00Z,2022-05-26T15:30:00Z,,,TRUE
