     lon  lat sta_id                                                                      
1  106.3 35.1      1
2  105.7 35.5      2
3  106.9 34.9      3
4  110.3 33.5      4
5  111.1 32.5      5
6  111.5 28.3      6
7  103.1 13.3     13
8  112.9 23.5     14
9  104.9 18.9     15
10 114.5 28.5     16
11 110.3 26.7     17
12 106.7 26.5     18
13 105.3 29.9     19
14 105.5 23.9     20
15 105.9 33.5     21
16 105.1 33.3     22
17 114.7 39.9     23
18 107.1 34.3     24
19 101.7 37.1     25
